"Table S8 | List of DEGs (|log2FC| > 0.585 and FDR < 0.01) between DT1_A and DT1_U in 35-day-old organoids. FC, fold change; CPM, counts per million; LR, likelihood ratio statistics; FDR, false discovery rate; CV, coefficient of variation.",,,,,,,,,
Gene_name,Log2FC,Log2CPM,LR,p-value,FDR,Means_DT1_A,CV_DT1_A,Means_DT1_U,CV_DT1_U
BCL11A,0.695020982,8.264301866,141.8555966,1.05E-32,2.50E-30,1.637869565,70.49727221,1.224366841,84.01522238
CSAD,0.701813769,7.733593243,135.389921,2.71E-31,5.77E-29,0.923746844,90.0531447,0.62762822,116.4395314
NGFR,0.704128497,7.332117523,46.19701505,1.07E-11,4.39E-10,0.319907933,225.1309134,0.200982768,258.7556905
TCF4,0.709961722,8.391448532,158.6061259,2.28E-36,7.04E-34,1.774036846,71.67437735,1.329142169,77.23312518
PCDH9,0.711391166,7.660836241,52.61250903,4.06E-13,1.98E-11,0.77249836,137.1070363,0.57562603,167.3593101
FAM124A,0.72397494,7.303136178,72.92676853,1.35E-17,1.02E-15,0.2548824,206.5465497,0.1543245,261.0172772
DPP10,0.727752469,7.33399518,61.31509998,4.86E-15,2.88E-13,0.31972768,204.8072946,0.192517752,242.374803
NRP2,0.728435077,7.349694886,51.74253428,6.33E-13,3.02E-11,0.344525646,208.2213091,0.233374257,252.2564232
TMEM108,0.729813908,7.334286757,76.85717961,1.84E-18,1.49E-16,0.294403293,184.0250774,0.188364734,227.7273759
PHLDA1,0.732444029,7.598270837,54.49549814,1.56E-13,7.93E-12,0.717375078,148.1060777,0.519546059,179.1325929
SELENOP,0.7349805,7.273644828,70.85516004,3.84E-17,2.76E-15,0.225384659,257.7304513,0.102244739,358.8372059
RTN1,0.735751637,8.713779806,50.66804671,1.09E-12,5.05E-11,1.588989964,102.4874909,1.257071311,120.1026137
DPP6,0.735956871,7.358918124,64.93014453,7.76E-16,4.94E-14,0.346588537,185.823468,0.231216505,228.377122
RASL11B,0.742164655,7.288394423,71.86141933,2.31E-17,1.70E-15,0.25064524,232.7491037,0.124203324,300.4963173
LMX1A,0.742593334,7.313367206,28.34439413,1.02E-07,2.31E-06,0.283414023,270.9231513,0.19362504,326.7163632
SSTR2,0.744662679,7.332747834,50.64164389,1.11E-12,5.11E-11,0.378810581,239.4220273,0.195786198,273.4176776
OCIAD2,0.752050167,7.552499559,79.98866102,3.77E-19,3.23E-17,0.615379963,133.1635848,0.420075884,165.1398242
OLIG3,0.754461094,7.295906047,22.48581202,2.12E-06,3.76E-05,0.25256331,328.7253308,0.166180715,380.549595
RAB3B,0.756438057,7.344759592,59.91633547,9.90E-15,5.65E-13,0.335506112,206.6775626,0.213027753,242.8157114
LY6H,0.760610788,7.386760417,74.02658054,7.71E-18,5.92E-16,0.381667479,167.629966,0.252283157,212.6301737
AC243773.2,0.763221349,7.360034578,39.61229638,3.10E-10,1.06E-08,0.341591689,212.5767885,0.248552507,256.0971583
CASZ1,0.763338761,7.473895152,71.71243998,2.49E-17,1.83E-15,0.527037471,156.0331455,0.325865694,193.2152313
SEMA6D,0.765594325,7.334701427,65.27324399,6.52E-16,4.20E-14,0.306637381,205.3718744,0.212518985,249.5331478
NHLH2,0.766497409,7.641520391,27.69375276,1.42E-07,3.16E-06,0.63854044,181.9876934,0.508086432,207.468343
TFAP2B,0.768453681,7.542585386,26.03544908,3.35E-07,7.03E-06,0.6047868,220.9701149,0.505249457,242.8707305
ACTL6B,0.769801603,7.549284619,71.09528798,3.40E-17,2.46E-15,0.58964849,138.9257421,0.422804559,172.6247603
CACNA1C,0.777106408,7.290399705,88.46303848,5.18E-21,5.06E-19,0.238937599,209.9188273,0.129154208,285.798451
SNX10,0.778311942,7.313585556,83.30301956,7.04E-20,6.39E-18,0.268211726,194.37251,0.165978545,254.499245
MSX2,0.779204286,7.271552793,88.3585086,5.46E-21,5.29E-19,0.225345043,254.5328301,0.088769163,374.828617
COL1A2,0.781070766,7.261995935,49.48688965,2.00E-12,8.81E-11,0.24943424,422.7866942,0.041283304,644.3466611
TMEM132C,0.781462653,7.268535071,79.52544142,4.76E-19,4.04E-17,0.228272639,286.9191519,0.078510234,422.2444363
SCRT2,0.783074997,7.667080024,60.95252713,5.85E-15,3.43E-13,0.745866145,140.2270555,0.512261687,162.6056174
CLDN5,0.783464254,7.274787187,58.76360536,1.78E-14,9.97E-13,0.261663465,315.6697662,0.117148265,448.0388335
GAD2,0.784054823,7.36406506,27.11405668,1.92E-07,4.18E-06,0.33211197,245.6667707,0.280147079,291.2166098
CNTNAP2,0.784901371,7.942046673,71.89199344,2.27E-17,1.68E-15,1.12355536,125.0076311,0.784400419,130.0314418
SULF1,0.787602385,7.375149338,21.64739705,3.28E-06,5.60E-05,0.395439275,268.58544,0.260531932,313.4940342
PRDM16,0.787878939,7.318571917,71.62294241,2.61E-17,1.90E-15,0.295773188,216.5481496,0.182379529,266.5704428
SLC32A1,0.792647368,7.286502203,58.06375571,2.54E-14,1.40E-12,0.220889563,260.849117,0.155793482,346.4595772
PPP1R14C,0.797787136,7.325875801,63.38800081,1.70E-15,1.04E-13,0.323060346,225.388299,0.199361782,278.3574089
RBM47,0.806007826,7.268996094,53.14903807,3.09E-13,1.53E-11,0.221118242,331.5806903,0.084215152,506.3734236
NNAT,0.80882827,9.762069612,134.6651671,3.91E-31,8.11E-29,3.14303386,61.10844545,2.55734232,64.80829727
AL035425.3,0.812002981,7.264163177,78.84306223,6.72E-19,5.61E-17,0.215621943,321.2925694,0.061710574,609.7367357
FAM13C,0.815508475,7.384748041,91.23072732,1.28E-21,1.28E-19,0.378634233,163.0320605,0.24772598,211.5729273
TSHZ1,0.816312557,7.376319554,88.4256043,5.28E-21,5.14E-19,0.388793255,174.987604,0.225055327,216.3545118
TRPM3,0.816709562,7.27355503,69.79429971,6.58E-17,4.67E-15,0.273681371,330.152668,0.116352055,489.0598627
PCYT1B,0.825511121,7.345624084,97.61052977,5.09E-23,5.88E-21,0.313049797,179.976711,0.200737863,228.2577241
RASGEF1B,0.828637753,7.316135017,72.83385544,1.41E-17,1.06E-15,0.280467568,216.362924,0.183651983,278.9662377
TTR,0.832903671,7.27709223,45.58103571,1.46E-11,5.95E-10,0.354808063,393.3790715,0.16506553,574.0629475
PCSK1N,0.833921772,8.165049187,144.7331698,2.46E-33,6.12E-31,1.400141152,81.74692397,0.992752985,106.4743474
SH3KBP1,0.834736815,7.333581445,90.83792906,1.56E-21,1.55E-19,0.307247001,189.5762648,0.18266393,245.856725
SLCO3A1,0.839162618,7.317813881,91.56538453,1.08E-21,1.09E-19,0.285107399,203.1420445,0.169539252,262.4050029
NR4A2,0.84374736,7.273840837,80.77708459,2.53E-19,2.18E-17,0.238362094,290.0637649,0.10394779,428.5119664
ATP1A2,0.845108588,7.309351074,44.87010337,2.11E-11,8.28E-10,0.324258687,270.632449,0.158225299,328.1216427
KIRREL2,0.845138448,7.398527779,63.6990291,1.45E-15,8.95E-14,0.504012916,199.2143228,0.262302642,254.9542102
CDON,0.847969004,7.448623597,97.85451631,4.50E-23,5.22E-21,0.506281533,153.1112873,0.288420302,195.3292762
SH3BP5,0.848283183,7.533823204,96.58650725,8.54E-23,9.61E-21,0.606650523,133.6121143,0.396577146,175.1129931
UBE2QL1,0.851864168,7.381623832,69.30130619,8.45E-17,5.90E-15,0.426106032,194.787943,0.227050614,236.0340798
KCNA2,0.85515034,7.273462095,97.13805684,6.47E-23,7.37E-21,0.237177445,268.1781841,0.075674875,412.7158695
EML5,0.860045319,7.282506799,110.9569441,6.05E-26,8.82E-24,0.236887736,218.6558865,0.102298511,345.634274
PRDM13,0.86298653,7.269536702,65.21143261,6.73E-16,4.33E-14,0.224653528,335.9234588,0.081642314,540.2661532
HOXB6,0.863915107,7.264796318,110.9837695,5.97E-26,8.74E-24,0.228575561,302.312875,0.034760508,753.926186
HGNC:24955,0.868934702,8.62626101,57.46192459,3.45E-14,1.86E-12,1.479542583,110.229317,1.089705273,134.3080569
DNER,0.877147146,8.186070185,104.3884166,1.66E-24,2.19E-22,1.387846,95.3532266,0.993665632,121.0430735
GRIK2,0.882412943,7.355183451,77.03763486,1.68E-18,1.36E-16,0.366425275,197.3912214,0.208948685,242.0096211
ADCYAP1,0.883663714,7.318764917,53.44779291,2.66E-13,1.32E-11,0.293406627,245.0404121,0.210410495,315.6415666
DIRAS2,0.886570239,7.287244767,92.37977402,7.15E-22,7.38E-20,0.24108038,238.0075527,0.124056918,342.9052682
NRXN1,0.887317753,7.565852259,75.22308935,4.20E-18,3.32E-16,0.628372032,146.368674,0.439089554,181.6455048
NR2F2,0.895074767,9.27983151,243.0584762,8.47E-55,7.38E-52,2.740168479,50.44155417,2.042589912,68.49959928
HOXA9,0.914665216,7.267890565,107.842613,2.91E-25,4.04E-23,0.230749028,310.0071783,0.045280709,727.6057904
FEZF1,0.917802316,7.268317422,102.3371242,4.68E-24,5.98E-22,0.239297224,319.0938205,0.027295212,686.7237418
TSHZ3,0.918611494,7.345599399,105.6020664,9.01E-25,1.20E-22,0.342264197,188.7346617,0.186905126,241.6802118
NRXN3,0.923276395,7.53454438,55.12380428,1.13E-13,5.87E-12,0.567817854,169.1686662,0.424099874,208.5869989
PTPRM,0.92647593,7.329702029,99.73462772,1.74E-23,2.11E-21,0.321264795,205.0666206,0.177171813,263.5465428
LINC02381,0.951614314,7.46431844,97.5517259,5.25E-23,6.04E-21,0.545180417,161.9305744,0.293565135,207.3082601
MIR9-3HG,0.960777658,7.661834022,123.7580738,9.52E-29,1.76E-26,0.802990873,127.6657792,0.497993505,163.7106336
C3orf70,0.962358914,7.299635763,139.2523833,3.88E-32,8.67E-30,0.261821455,193.6772503,0.117221784,294.0324026
LRRN2,0.972596236,7.371079048,114.7619656,8.87E-27,1.39E-24,0.386896126,176.3791226,0.217386085,231.3182575
FLRT2,0.975368076,7.353466335,73.61223411,9.51E-18,7.26E-16,0.363717573,211.7614552,0.219522132,271.9400631
UNCX,0.980628169,7.858407511,49.79298731,1.71E-12,7.67E-11,0.81639013,153.2025548,0.581830498,185.2927464
EPHA5,0.994878369,7.410490751,81.3385227,1.90E-19,1.67E-17,0.452381933,181.6677931,0.286165741,240.8309751
FSTL5,1.015287864,7.306074437,86.27695306,1.56E-20,1.49E-18,0.277508827,241.8438921,0.151032372,333.0281233
ZIC3,1.022558552,7.463922943,119.0511697,1.02E-27,1.75E-25,0.526587097,153.1473618,0.319043151,213.8672913
SAMD5,1.037140196,7.341036677,101.5376963,7.01E-24,8.80E-22,0.33616408,202.9559263,0.194991493,267.5101396
EMX2OS,1.042731907,7.287939637,102.2235789,4.96E-24,6.29E-22,0.26775297,267.5816059,0.091218015,409.5541881
DUSP26,1.044515257,7.342227627,137.1118105,1.14E-31,2.45E-29,0.325797779,182.6634294,0.179372958,250.2627507
CBLN1,1.066910417,7.328287717,107.233679,3.96E-25,5.43E-23,0.344844969,223.8914675,0.173829753,304.9187807
CYP26A1,1.071311415,7.278550813,102.4632566,4.39E-24,5.64E-22,0.267900801,326.3248895,0.056468775,684.7934416
IGFBP5,1.089261921,7.443011599,65.70238059,5.24E-16,3.42E-14,0.529574092,215.3361586,0.323293106,285.4504955
FEZF2,1.097553093,7.282723427,94.10314149,3.00E-22,3.20E-20,0.260235955,314.3173653,0.066166968,582.7255112
ST3GAL1,1.105793016,7.322669424,152.7578406,4.33E-35,1.20E-32,0.310841874,198.6891521,0.147196114,282.8996934
UNC5B,1.118951257,7.331078693,141.7752789,1.09E-32,2.58E-30,0.340974214,202.6702197,0.170269601,289.7199824
ROBO3,1.123371885,7.64532251,69.75940767,6.70E-17,4.73E-15,0.866262574,182.9083683,0.559925817,218.7777766
RGS16,1.147004473,7.375079782,63.83841375,1.35E-15,8.40E-14,0.428315184,238.4658477,0.249700217,316.3792255
CNR1,1.163584166,7.551675465,102.6822117,3.93E-24,5.06E-22,0.657479601,161.0590499,0.393976373,210.028411
ECEL1,1.167334534,7.366532383,95.13775971,1.78E-22,1.96E-20,0.411748241,210.9900199,0.197557349,287.8244773
BCL11B,1.193860756,7.495257958,198.4053021,4.65E-45,2.54E-42,0.607619034,136.3310698,0.298740762,202.1266477
LHX1,1.201112782,7.874067923,50.00448103,1.53E-12,6.93E-11,0.799748892,182.0724007,0.572829615,213.0499991
TBR1,1.205344846,7.285472335,68.22506928,1.46E-16,9.94E-15,0.219124503,373.1569665,0.022537795,794.1604642
RIPOR2,1.217083501,7.322970465,187.2768944,1.25E-42,5.73E-40,0.316361764,194.8796803,0.136024634,302.370565
DACT1,1.230696292,7.351036356,169.134526,1.14E-38,4.24E-36,0.38373773,188.3053668,0.176922886,273.5009603
GJA1,1.236072947,7.529044879,95.80882476,1.27E-22,1.41E-20,0.683733427,189.3371145,0.300327655,228.656809
RSPO1,1.236565488,7.313977319,104.3356052,1.71E-24,2.24E-22,0.322367998,255.8383178,0.120152422,367.6905273
DMRTA2,1.239566319,7.304288294,106.9656002,4.53E-25,6.17E-23,0.303838067,267.4645316,0.102527305,417.2534624
CDH11,1.243837134,7.341305611,146.4551368,1.03E-33,2.65E-31,0.384118829,210.5451737,0.155207582,289.6757629
SLIT2,1.244321023,7.644805304,140.0761704,2.56E-32,5.92E-30,0.83088338,145.4227708,0.54191613,210.2886524
LAMB1,1.25862569,7.333970255,111.8123617,3.93E-26,5.85E-24,0.419056067,247.1496974,0.15847923,355.40296
RBMS1,1.263565767,7.368719536,179.1772351,7.33E-41,3.08E-38,0.401910998,175.6251841,0.197346094,258.1402874
TPBG,1.266892027,7.772333385,101.008613,9.16E-24,1.14E-21,0.969932676,158.3974639,0.554821406,191.4149501
HOXC6,1.289556849,7.293752382,152.1613611,5.84E-35,1.59E-32,0.284651334,276.0088865,0.067586857,606.4305919
SKOR1,1.293915178,7.308496669,163.6303705,1.82E-37,6.35E-35,0.314743373,234.9653693,0.114920641,399.6703506
EPHA7,1.298068626,7.508669353,195.6495893,1.86E-44,9.68E-42,0.64332316,146.1090965,0.301965477,208.3554593
CACNA2D1,1.300012546,7.491108459,139.3616161,3.67E-32,8.37E-30,0.574118297,159.7808264,0.33470488,228.9087196
MSX1,1.324057621,7.386693029,122.051311,2.25E-28,4.02E-26,0.497546891,211.9263434,0.190185378,291.0594895
NFIB,1.353108004,7.757843376,193.9032403,4.47E-44,2.26E-41,0.975979865,133.6325552,0.470977315,161.2283395
ARX,1.39617067,7.32691154,119.3275183,8.88E-28,1.53E-25,0.32183663,251.6036472,0.139841287,368.1411925
EPHA3,1.407176171,7.714175293,230.8793285,3.83E-52,2.79E-49,0.883793601,123.0813136,0.461877105,171.7187165
UNC5C,1.486882331,7.32218595,267.9681785,3.15E-60,3.54E-57,0.349907265,200.9098689,0.093353534,396.1753443
LHX5,1.510305978,7.501765859,149.9134076,1.81E-34,4.75E-32,0.574125655,168.4914579,0.301386863,235.9594197
LHX5-AS1,1.556350559,7.702256041,134.8463664,3.57E-31,7.45E-29,0.768257997,153.9197433,0.460982263,210.3879717
MAF,1.582876032,7.471853654,154.8735918,1.49E-35,4.34E-33,0.608577247,187.8768596,0.249563148,265.1520644
SIX3,1.642049281,7.362384031,135.0682224,3.19E-31,6.71E-29,0.403662822,249.5500451,0.186463051,376.0077785
ADCY2,1.663086268,7.338685736,232.5850858,1.63E-52,1.29E-49,0.419016197,226.1356043,0.094935039,425.1087749
RSPO2,1.700564918,7.410782455,94.99934073,1.90E-22,2.09E-20,0.540431955,253.1940228,0.232193859,343.1564224
TSHZ2,1.756209729,7.429362629,286.6113015,2.72E-64,3.65E-61,0.538254202,165.1887291,0.198191893,267.5960824
ZIC4,1.784900494,7.380246351,258.6708429,3.34E-58,3.15E-55,0.450101904,195.4599439,0.153137166,325.6506253
HOXB3,1.834716133,7.353774194,231.0866327,3.45E-52,2.56E-49,0.397875599,232.4434343,0.101513585,454.1258052
ID1,1.834907275,7.626342797,170.2342047,6.58E-39,2.47E-36,0.771717053,180.3448097,0.341817007,255.4531474
CHL1,1.855982509,7.412812159,306.5468408,1.23E-68,1.87E-65,0.515695059,170.7413162,0.188207849,296.3308512
EMX2,1.930079053,7.405841354,138.511237,5.63E-32,1.24E-29,0.442760367,240.5392587,0.164900778,358.3853556
HOXB2,2.139807999,7.428968823,307.0486588,9.60E-69,1.59E-65,0.511724169,192.2576908,0.189600773,345.0894738
ZIC5,2.201120616,7.60890206,406.2268049,2.43E-90,9.41E-87,0.779593667,140.9652618,0.26302575,234.4720881
TFAP2A,2.226454135,7.548784551,225.2889978,6.35E-51,4.26E-48,0.658116762,199.6941007,0.305295227,288.5748612
RSPO3,2.26941075,7.411959553,214.455423,1.47E-48,8.97E-46,0.53009384,247.3759281,0.098864607,468.1950077
ZIC2,2.347525106,8.31586997,544.2653473,2.23E-120,2.59E-116,1.565151262,100.0391288,0.645278227,159.1675244
ZIC1,2.762005804,8.453532007,487.1565541,5.92E-108,4.13E-104,1.591482422,108.6518413,0.63237158,186.5151984
NFIA,2.823482221,7.706828705,474.6381739,3.14E-105,1.37E-101,0.879122687,150.4077082,0.263490428,273.4322784
C1orf61,3.102211555,8.163497629,680.0383677,6.56E-150,2.29E-145,1.409724056,114.8772151,0.437930128,215.4787587
,,,,,,,,,
