"Table S8 | List of DEGs (|log2FC| > 0.585 and FDR < 0.01) between DT1_A and DT1_U in 35-day-old organoids. FC, fold change; CPM, counts per million; LR, likelihood ratio statistics; FDR, false discovery rate; CV, coefficient of variation.",,,,,,,,,
Gene_name,Log2FC,Log2CPM,LR,p-value,FDR,Means_DT1_A,CV_DT1_A,Means_DT1_U,CV_DT1_U
ACTA2,-0.980466017,7.297596423,119.6735547,7.46E-28,1.29E-25,0.14053206,340.6704361,0.278654014,223.1466978
MGST1,-0.973373351,8.036033159,116.1655672,4.37E-27,7.03E-25,0.797427296,144.3303036,1.202212939,106.452257
PDPN,-0.970055553,7.876287126,143.4574155,4.67E-33,1.15E-30,0.7002955,145.55629,1.050045474,103.8262929
FOXP4,-0.964445562,7.869199948,233.6181175,9.69E-53,7.86E-50,0.710175483,125.1601076,1.145006276,82.94367016
ZFHX3,-0.962276056,8.53408856,260.679774,1.22E-58,1.22E-55,1.311784678,95.04561119,2.035699597,56.04899782
CDKN1A,-0.961492073,7.617253263,62.40198806,2.80E-15,1.69E-13,0.501285683,207.8410144,0.736190921,164.8208901
PMAIP1,-0.95070427,7.313208982,111.9871943,3.60E-26,5.38E-24,0.167154629,288.5029574,0.294977944,207.4718023
ACKR3,-0.950633298,7.775008434,136.4030652,1.63E-31,3.49E-29,0.607113369,150.9575105,0.944505534,111.5228842
DLK1,-0.950621963,7.296660777,73.71070509,9.04E-18,6.92E-16,0.180743571,404.5279802,0.294982759,275.4715167
SLC29A2,-0.950367863,7.404360187,123.7579944,9.52E-29,1.76E-26,0.245982144,219.9110774,0.441736923,154.8757829
NR6A1,-0.950206351,7.376278425,143.3775037,4.86E-33,1.19E-30,0.215797096,217.5221371,0.375974475,155.7529428
SP8,-0.948391571,7.289905301,110.3969048,8.02E-26,1.16E-23,0.1330004,344.8073709,0.259595961,233.8141084
FKBP5,-0.939624979,7.31977902,122.1668574,2.12E-28,3.82E-26,0.164007763,266.9720772,0.293164378,191.5297767
PHLDA3,-0.937961055,7.376046888,116.2068984,4.28E-27,6.91E-25,0.228318106,230.7574509,0.39938787,169.3250206
SDC1,-0.934258354,7.500593108,139.3233173,3.74E-32,8.48E-30,0.341614468,191.581512,0.590079457,131.5827872
TPX2,-0.93370989,7.405114535,44.10998309,3.10E-11,1.20E-09,0.303979894,280.8330396,0.447687813,224.0528541
C1QL1,-0.933556025,7.330586864,88.52619579,5.02E-21,4.92E-19,0.194252106,280.4710315,0.345810437,215.544499
FOXA1,-0.932054299,7.270982302,114.5597498,9.83E-27,1.52E-24,0.07091372,536.4289651,0.240302417,282.3534212
GBE1,-0.931556676,7.32535223,123.7827045,9.40E-29,1.75E-26,0.163597463,258.318282,0.300922478,185.7173338
ELMO1,-0.928611154,7.382214326,112.903169,2.27E-26,3.41E-24,0.245875753,233.9688105,0.406625666,166.3501209
CMTM7,-0.922419934,7.299794147,120.7089939,4.43E-28,7.80E-26,0.130603508,297.4526376,0.266681323,202.0278554
SOX21-AS1,-0.917778616,7.304098318,113.562779,1.62E-26,2.49E-24,0.140334544,290.4996488,0.275544251,204.1927456
CRNDE,-0.915848686,8.425377559,258.756693,3.20E-58,3.10E-55,1.224465752,93.20019432,1.852376908,62.43514275
CKS1B,-0.913765198,7.480754481,92.3724336,7.18E-22,7.39E-20,0.340735253,214.8431989,0.552449446,160.1408248
TMEM38B,-0.912496071,7.731052111,156.7509912,5.80E-36,1.74E-33,0.572900954,142.7577573,0.948380058,105.6308577
ETV1,-0.903579027,7.432678735,109.0688495,1.57E-25,2.23E-23,0.286274192,210.6368343,0.482970643,151.4081816
TCF7L2,-0.901884029,8.004430659,132.5461745,1.14E-30,2.35E-28,0.927660019,134.90521,1.400601605,102.6834165
PLAGL1,-0.900085835,7.895093138,158.7321031,2.14E-36,6.73E-34,0.72563626,129.6423982,1.126222374,95.40317781
SHISA3,-0.899994893,7.26894139,104.6723929,1.44E-24,1.90E-22,0.069891311,579.2816478,0.254932364,305.0817694
PLCD1,-0.899806234,7.464785875,151.4630343,8.30E-35,2.24E-32,0.297887106,187.3676191,0.535544908,124.5974094
AL353150.1,-0.894760011,7.282306368,124.406252,6.86E-29,1.29E-26,0.09862386,335.8518187,0.240599671,213.7703038
NMU,-0.893950279,7.45546544,99.43993835,2.02E-23,2.42E-21,0.329214761,217.9464192,0.514960132,153.0805424
S100A6,-0.880760337,7.300142009,102.2176333,4.97E-24,6.29E-22,0.145273516,305.7108052,0.265420738,210.3618786
PCDH19,-0.868873473,7.465954282,94.5978434,2.33E-22,2.53E-20,0.318942201,202.1377734,0.54693545,152.5969538
LINC01315,-0.868689223,7.351418074,107.0297488,4.39E-25,6.00E-23,0.19309811,229.4563962,0.342348985,174.7661803
FUT9,-0.867150758,7.532311369,128.2618716,9.84E-30,1.96E-27,0.383821898,175.2958596,0.636813995,123.0230477
AC002044.2,-0.862234597,7.384574409,118.309211,1.48E-27,2.51E-25,0.234909315,208.0299708,0.383432452,154.2299799
CDK1,-0.862022859,7.440028995,32.51611813,1.18E-08,3.14E-07,0.35886479,272.67647,0.469496532,225.7980384
S100A13,-0.861984289,7.368297313,101.854867,5.97E-24,7.52E-22,0.219906672,227.3504114,0.375230925,169.5283743
PCDH18,-0.860472281,7.846382557,84.39284873,4.06E-20,3.73E-18,0.697018361,156.100701,0.99888463,119.595929
ADCY7,-0.853677844,7.281780343,117.5106254,2.22E-27,3.65E-25,0.101906906,326.4583236,0.232816694,206.4852892
DIO3OS,-0.850870399,7.272026569,124.0035648,8.41E-29,1.58E-26,0.081985904,385.5766679,0.222794282,223.5896214
EPHA2,-0.849352578,7.41795712,99.48357327,1.98E-23,2.39E-21,0.272813752,211.1539988,0.463385087,153.8699456
FAM19A4,-0.846641742,7.272984051,118.171463,1.59E-27,2.67E-25,0.088446802,384.8294988,0.224307725,226.7509416
FOLH1,-0.837508102,7.270741585,91.11750966,1.35E-21,1.35E-19,0.090066562,443.8657951,0.23923051,278.0620103
RHBDL3,-0.836502135,7.74198538,126.5542121,2.33E-29,4.48E-27,0.604800795,141.6075338,0.938730537,105.3448384
POU3F2,-0.833697883,9.008410051,275.9558621,5.71E-62,7.38E-59,1.775549225,74.3021344,2.570896246,42.7240455
ABCA5,-0.832281427,7.322809632,94.02780893,3.11E-22,3.32E-20,0.174244842,247.3079691,0.288760614,189.3262108
NHS,-0.83226822,7.338645807,98.19602626,3.79E-23,4.44E-21,0.199279314,238.6829055,0.306274524,180.1242016
PTCH1,-0.829649186,8.032168378,159.2754259,1.63E-36,5.21E-34,0.907651015,115.3106534,1.335987795,85.60825233
FZD1,-0.822710573,7.733030661,96.34695545,9.64E-23,1.08E-20,0.638935593,153.4651792,0.918677582,113.265109
SELENBP1,-0.821013845,7.337043504,93.69637892,3.68E-22,3.89E-20,0.197104733,245.6557635,0.306980265,181.5836727
MCM6,-0.818363484,7.783607529,72.66683531,1.53E-17,1.14E-15,0.665028256,161.323922,0.924074584,125.9429262
PVT1,-0.817440656,7.292747089,94.88897532,2.01E-22,2.20E-20,0.136790346,296.427817,0.250132545,210.930968
SLC2A1,-0.815475978,8.088275145,117.5286113,2.20E-27,3.64E-25,0.980214827,118.2606692,1.36882058,95.41872417
LIX1,-0.815002196,7.368362239,68.65377472,1.17E-16,8.07E-15,0.252278552,246.3731435,0.381256219,186.0074027
CENPH,-0.814044918,7.646778323,92.78990449,5.82E-22,6.04E-20,0.507228445,164.8155339,0.760349877,128.3378285
CRB2,-0.813655945,8.34973731,160.0644164,1.10E-36,3.57E-34,1.11734064,108.8953336,1.660390034,70.12321252
CCNB2,-0.812432874,7.465356688,57.4826212,3.41E-14,1.85E-12,0.386262705,237.0910674,0.578787385,185.552248
PRTG,-0.812393732,7.890777565,101.3297671,7.79E-24,9.74E-22,0.821138746,147.2637494,1.082591858,99.64203343
PCDH8,-0.810706692,7.801206971,38.10200044,6.71E-10,2.16E-08,0.617422331,182.5898728,0.835831264,157.9710767
LEF1,-0.807746668,7.650700452,87.02793645,1.07E-20,1.03E-18,0.527254953,162.9428138,0.77268396,123.9768544
SOCS2,-0.804339366,7.376114359,84.40320849,4.03E-20,3.72E-18,0.233300679,224.4214385,0.391076021,171.9524361
SLC29A1,-0.803791015,7.384860168,94.33143471,2.67E-22,2.86E-20,0.243554309,215.1417733,0.390218449,161.4431619
SPRY1,-0.803042519,7.430902618,57.46549348,3.44E-14,1.86E-12,0.304559979,228.8080425,0.488284188,179.2867738
SPRY2,-0.802741337,7.641195811,108.72291,1.87E-25,2.64E-23,0.515118491,157.3847436,0.80014152,117.4680844
PTX3,-0.801037347,7.366105551,75.10607999,4.46E-18,3.50E-16,0.235392969,241.7196753,0.386214302,186.4719799
CDT1,-0.800301042,7.543775579,65.5439597,5.68E-16,3.69E-14,0.446055194,194.829888,0.596831683,149.0826876
ALPL,-0.797303949,7.29459823,88.40803222,5.33E-21,5.17E-19,0.145302259,290.1049404,0.249577219,213.6824024
NTNG1,-0.795506551,7.284968035,80.89774071,2.38E-19,2.06E-17,0.131174288,324.5276337,0.24722354,235.4830213
FABP7,-0.794339416,8.020363467,58.81460461,1.73E-14,9.75E-13,0.861729376,151.5837583,1.188111835,123.2436539
PCLAF,-0.793110061,7.760549578,36.85259811,1.27E-09,3.94E-08,0.622156909,191.8225635,0.799330214,160.5015524
SEMA5B,-0.792990236,7.906267682,200.8748187,1.35E-45,7.45E-43,0.777809511,110.9020354,1.195830072,76.56673053
HMGA1,-0.791636713,8.805652415,205.2675672,1.48E-46,8.61E-44,1.703562339,77.81243089,2.272916469,57.00193812
MECOM,-0.790287212,7.333688793,58.29758151,2.25E-14,1.25E-12,0.217143042,267.4580087,0.319083725,213.6644489
KLHDC8A,-0.790083543,8.040380667,138.8709566,4.70E-32,1.04E-29,0.911177157,114.6888823,1.345349554,81.72582061
CA14,-0.787087476,7.586421765,126.1109194,2.91E-29,5.57E-27,0.449103508,155.1987018,0.70491333,111.3988605
ASIC4,-0.784754351,7.292509141,49.9473062,1.58E-12,7.12E-11,0.161488953,333.7817938,0.254484246,268.5425037
