"","Astrocytes","Neurons","Proliferating","Progs.","RG","Mural","Myeloid","Endothelial","SYMBOL"
"IFI16","0.251748252","0.021206581","0.047471620","0.027862270","0.092507394","0.050416832","0.009615385","0.456418384","IFI16"
"KIAA0040","0.003496503","0.001096892","0.004540764","0.001703370","0.007558331","0.005160778","0.001373626","0.004754358","KIAA0040"
"MAP10","0.008741259","0.006215722","0.009907121","0.005840127","0.009037134","0.009527590","0.006868132","0.006339144","MAP10"
"AC007388.1","0.02622378","0.07239488","0.06130031","0.03577078","0.08790667","0.08971814","0.02472527","0.11093502","AC007388.1"
"CFAP36","0.14860140","0.22851920","0.24932921","0.12957781","0.28491620","0.27431520","0.13186813","0.09825674","CFAP36"
"INO80D","0.05944056","0.09433272","0.08751290","0.04513931","0.09086428","0.06312029","0.03983516","0.06973059","INO80D"
"CCNYL1","0.04370629","0.04826325","0.05386997","0.03321572","0.05225107","0.03493450","0.01785714","0.05388273","CCNYL1"
"OPA1","0.11888112","0.14808044","0.16160991","0.08151843","0.15872494","0.10996427","0.05082418","0.07923930","OPA1"
"NOP14-AS1","0.02797203","0.04424132","0.05015480","0.02713225","0.06276701","0.05240175","0.01373626","0.02535658","NOP14-AS1"
"FAT4","0.022727273","0.048263254","0.061093911","0.040272539","0.109102859","0.040889242","0.004120879","0.079239303","FAT4"
"RAB33B","0.03496503","0.04424132","0.04809082","0.03613578","0.06063096","0.06986900","0.06043956","0.05229794","RAB33B"
"PCDH12","0.0069930070","0.0007312614","0.0043343653","0.0037717484","0.0046007230","0.0011909488","0.0000000000","0.1505546751","PCDH12"
"ZNF879","0.02272727","0.02559415","0.03839009","0.02007543","0.03154781","0.02223104","0.01236264","0.02535658","ZNF879"
"GFOD1","0.02622378","0.05411335","0.04540764","0.02713225","0.06818929","0.02104010","0.01373626","0.28367670","GFOD1"
"AL138724.1","0.022727273","0.005850091","0.013828689","0.007300158","0.019224450","0.019452164","0.004120879","0.025356577","AL138724.1"
"SCGN","0.001748252","0.011334552","0.002476780","0.004380095","0.006079527","0.004366812","0.001373626","0.001584786","SCGN"
"LST1","0.769230769","0.006215722","0.030546956","0.018858742","0.011666119","0.011909488","0.009615385","0.215530903","LST1"
"CENPQ","0.09440559","0.05009141","0.21052632","0.06886483","0.07870523","0.07701469","0.08241758","0.04595880","CENPQ"
"AL513550.1","0.005244755","0.003290676","0.003302374","0.003285071","0.007722642","0.005557761","0.001373626","0.004754358","AL513550.1"
"TPD52L1","0.17132867","0.05082267","0.10340557","0.07592164","0.20719685","0.22310441","0.02747253","0.11568938","TPD52L1"
"FBXO30","0.06118881","0.05447898","0.07884417","0.04489597","0.09513638","0.05795951","0.03846154","0.05071315","FBXO30"
"ZDHHC14","0.02447552","0.02120658","0.03281734","0.01569534","0.03253368","0.01151250","0.01236264","0.03328051","ZDHHC14"
"FBXL18","0.013986014","0.014259598","0.019195046","0.007786835","0.018895826","0.009924573","0.006868132","0.006339144","FBXL18"
"AC004540.2","0.143356643","0.309323583","0.174200206","0.102688892","0.146730200","0.028979754","0.002747253","0.331220285","AC004540.2"
"TBRG4","0.1468531","0.1389397","0.2703818","0.1326195","0.1786066","0.1913458","0.2211538","0.1141046","TBRG4"
"AC004918.1","0.012237762","0.018647166","0.015686275","0.012531938","0.020867565","0.009130607","0.001373626","0.015847861","AC004918.1"
"SPIN3","0.07692308","0.09213894","0.07389061","0.06119966","0.09710812","0.05518063","0.02472527","0.03803487","SPIN3"
"SLC25A43","0.013986014","0.009872029","0.023529412","0.009368536","0.035984226","0.064708218","0.024725275","0.036450079","SLC25A43"
