"Gene_name","logFC","logCPM","F","PValue","FDR"
"ABCC6",0.176463280590022,1.41705392855622,0.0809353377951469,0.783214768953238,0.872325813688793
"ABCD1",0.662905074271679,1.73296162696272,5.06844355081783,0.0542535044109291,0.178341136726937
"ABCD3",-0.462248474163082,4.13529198136491,6.08974451444989,0.0386683682879241,0.147621509213903
"ABCD4",0.182741817281576,5.78974865356209,1.40920517962534,0.269034039007478,0.454218759465917
"ABCE1",-0.294076980927572,5.12801586005672,0.835611847793229,0.387213785294891,0.572164450374346
"ABCF1",0.295139963116274,5.80759124261944,2.32336313995078,0.165716303842179,0.337051461239622
"ABCF2_ENSG00000033050",0.107144576715992,4.31573514359312,0.335517983349199,0.578271732584324,0.73037478452092
"ABCF3",0.367957282477429,3.24999059074001,1.36762871828233,0.275677353665921,0.461395799127734
"ABCG1",-0.785068054657141,1.09901586179049,2.83176797090182,0.130680243684125,0.292736221293366
"ABCG2",1.12154661620591,0.931407152465301,1.87275798593227,0.208128596085718,0.387137337071056
"ABHD10",-0.483171537340938,3.79357186589434,5.11642949272036,0.0533584854295073,0.176424017705764
"ABHD11",0.131197944550069,3.46063295190195,0.406170901893905,0.541616048742432,0.702756410273856
"ABHD12",-0.0490745805882631,4.43242624866845,0.0941644317810214,0.76673564347171,0.863254514956488
"ABHD13",-0.102340364264366,4.02756017203904,0.253449269171244,0.628140611105372,0.767241043326655
"ABHD14A",-0.201503467828687,4.84019800799695,0.526645328392689,0.488577982566004,0.659826322930146
"ABHD14A-ACY1",0.937014910877615,2.34231974426899,6.86155422875317,0.030514354537307,0.130660461536115
"ABHD14B",1.04375988798774,4.02820878227865,7.60547790454717,0.0246117415115043,0.118952526172492
"ABHD15",0.229663857182242,0.924230411222961,0.29110788978393,0.604109927336453,0.749957117270957
"ABHD17A",0.680420170784141,5.48424451748248,9.54433439917057,0.0147899510680359,0.0948804852823487
"ABHD17B",-0.57721408956684,4.08142853316937,3.57906672800943,0.0949256638006906,0.243036628596094
"ABHD17C",-0.630073792448196,3.89166659020508,5.15065855210641,0.0527315466983299,0.175137401737624
"ABHD18",0.185004969249507,2.76135800846074,0.31654780284608,0.589010024517235,0.738539743899455
"ABHD2",-0.735208225285191,3.74972503096669,3.34032197452564,0.104780740975787,0.256960120571
"ABHD3",0.224935707584231,2.92982885354863,0.276542624212287,0.613150594646372,0.755584001927901
"ABHD4",1.14568122287423,3.04310742266449,25.2305343400631,0.00100387487904452,0.0514023970257832
"ABHD5",-0.0134602357492001,3.91273157771191,0.00516768055268133,0.944446055994258,0.970644282235431
"ABHD6",-0.663313844497525,2.47756605578127,3.9019014472535,0.0834268945477497,0.226033145983276
"ABHD8",-0.109980771442265,2.86397708748792,0.133158624334397,0.724579755244765,0.835150092025464
"ABI1",0.0878511521662496,4.68651918731134,0.242763794949123,0.635373455578912,0.77302306265948
"ABI2",-0.439487038055026,6.8263256268628,6.3880860952145,0.0352226898558263,0.14168578585148
"ABI3",2.44782782005053,1.34204753885554,5.57512183707362,0.0456842237981433,0.161159655939378
"ABL1",-0.0665772312706971,4.58721444591389,0.0829068063149583,0.780669930801127,0.871578940154782
"ABL2",-0.19033729774458,4.52743724916402,0.595070743811359,0.462504421139641,0.637579530522374
"ABLIM1",-1.14752006825362,4.10082606352779,7.95505462321562,0.0223373550779942,0.114525718187575
"ABO",1.60966800618015,1.15928793221837,4.43452210010348,0.0681000447118,0.201591352121069
"ABR",-0.376731863880166,3.89581454201611,2.12386018291771,0.182894555447804,0.356496254485619
"ABRACL",0.121077164191338,6.37130129972351,0.135971636918636,0.721828121045737,0.832864949697011
"ABRAXAS1",0.301647079208837,5.13563648871135,1.53122804019935,0.250802941476436,0.435193988898102
"ABRAXAS2",-0.171059595940688,3.76839700705545,0.654686308326733,0.441697737048628,0.620247087190835
"ABT1",0.022566000979779,5.69693859523158,0.0091344125042782,0.926195115102686,0.959733644331399
"ABTB1",0.519820140439137,2.42889772434017,1.7273103647832,0.224964231924616,0.406138303736755
"ABTB2",-0.322749628220516,1.84642065549009,0.365378078250689,0.56217921650131,0.71901536965134
"AC000068.1",-0.930841417276273,0.152792104307375,5.24134723063881,0.0511153330869604,0.17191896190428
"AC002310.1",-0.57894250438709,3.18452445915292,2.5055138179359,0.151870647752722,0.320663894677651
"AC002454.1",0.15604768821707,3.2477279246317,0.0908964716673562,0.770681580314955,0.865922105730869
"AC002456.1",-0.592586842176024,1.00278030982186,1.68656625036622,0.230016890423616,0.411909619848361
"AC002467.1",-0.0998857082864279,1.78912306031316,0.122912710539853,0.734893781095263,0.841885087726556
"AC002470.1",-0.188082801127057,1.43137694071358,0.175959724702227,0.685838747739371,0.808162347624926
"AC003102.1",-0.124448996299924,1.95232507619476,0.0819443496840598,0.781908128496752,0.871864120407777
"AC003681.1",0.418054047882778,1.10465783136021,0.947503524647509,0.358692025735275,0.545241311847003
"AC004069.1",-0.883971861639597,0.517531381890969,5.57143803176367,0.0457400444805402,0.161251492529728
"AC004076.2",-0.900875357957914,1.78212728800954,3.74633376062923,0.0887285077211954,0.233671653611431
"AC004080.1",1.75531249791386,1.78227449194771,2.85835318207681,0.129130289292664,0.290527015725727
"AC004130.1",-1.42603454271319,2.21160586874355,8.54175890413717,0.0190841231539539,0.106136719996167
"AC004148.2",-0.461283932104884,3.30819316162031,0.73768446377537,0.415243983531014,0.597345462770323
"AC004241.1",1.10149197128821,1.38968968343429,7.5986875331265,0.0246587485322254,0.119053087760197
"AC004540.1",-0.634216154422206,2.17616996690526,2.14564446232199,0.180905336589441,0.353892765574925
"AC004540.2",-2.3754447531834,4.32085188740829,21.3788441623255,0.00167402920198972,0.0541777137581631
"AC004803.1",-0.0178159520422037,2.14007271575011,0.00446276652224331,0.948367108130031,0.972741852631331
"AC004812.2",-0.74255374193156,2.85191485432174,6.04302845733557,0.0392460484352646,0.14857357244423
"AC004816.1",0.458062943658996,2.02030622877634,1.73092683559088,0.224523219741406,0.405784648361907
"AC004825.2",0.341515820374756,0.674809812678733,1.02167116266339,0.341534896128012,0.529917324508076
"AC004854.2",0.458727490109053,0.312924009271554,1.0077842748942,0.344650838689951,0.533048353061169
"AC004918.1",-0.169338211475003,1.15135575454276,0.220750511823812,0.650932909235108,0.784139226714108
"AC004943.2",-0.4880167975281,0.804063732711221,2.33885074540618,0.164474975812157,0.33594127150143
"AC004951.1",0.0226099439775581,3.3738015029971,0.0034888810816383,0.954338872853377,0.975612619147742
"AC004982.2",-1.02241830398892,0.992707151143665,4.2170999961662,0.0738783577722134,0.210601758869862
"AC005034.3",0.145212714171677,1.61229864004304,0.193504868515165,0.671586063748203,0.798114306703043
"AC005070.3",-0.281330537718007,1.6301827069351,0.959567880596071,0.355812605433803,0.542857138264252
"AC005076.1",-0.17636173081089,2.09281755231087,0.474022528396715,0.510492158818385,0.676698908201114
"AC005224.3",0.295776686602971,1.30240419978073,0.641252833743865,0.446244882670117,0.624583129845171
