"","SYMBOL","GW26_GABAergic_neurons","GW23_GABAergic_neurons","GW26_Astrocytes","GW26_Neurons","GW16_Neurons","GW16_GABAergic_neurons","GW10_Neurons"
"14988",NA,0.0501998389589483,0.113712834456831,0.245160878238056,0.113287004631891,0.132721188688437,0.347666105715283,0.0310276813373272
"14989","RASSF9",0.00602545522557972,0,0,0,0,0,0
"14990","RAVER1",0.743325028532382,0.642316720795863,1.8002484175418,0.427254028365984,1.12536078655203,0.82075673837855,1.15220720690205
"14991","RAVER2",0.473439720486714,0.134053690722383,1.36157580061766,0.324687476599106,0.35660900153949,0.108846052306871,0.115487868177569
"14992","RAX",0.0202221078747101,0,0.125857016513469,0.0256358372414536,0,0,0
"14993","RAX2",0.0201113526150378,0,0.0164384747576305,0.0363982056584021,0.00518865876076572,0,0
"14994","RB1",1.48220243684367,1.31968463050956,2.75729347489036,1.05018360291078,1.85589813661149,1.28515103283007,1.59955522598154
"14995","RB1CC1",4.41221096576734,4.451697166821,4.2144863509089,3.36460201139528,4.29264994488051,3.96307912540673,4.35784324114938
"14996","RBAK",0.643599268074843,0.435673120963247,1.00528715406999,0.321369751069337,0.723733489595404,0.234059542075,0.484678935465529
"14997","RBAK-RBAKDN",0,0,0,0,0,0,0
"14998","RBAKDN",0,0,0,0,0.0045319008738981,0,0
"14999","RBBP4",3.55274817239579,3.67290078191666,3.4027197375639,3.27089489376649,3.93320406960675,3.44857932768606,3.44310579441683
"15000","RBBP5",1.9512943511843,1.61166232244438,1.96203153012799,1.37972239640766,2.13168589501808,1.68342432869975,2.37358271655155
"15001","RBBP6",2.63576120424157,2.27052118214141,3.78626512070093,2.51654370539623,2.9058656647985,2.13908381664033,2.46051710427879
"15002","RBBP7",2.43517381154425,3.1894932596684,4.01609054444768,2.44931512533714,3.79716914110035,3.42178945669171,2.81627625347746
"15003","RBBP8",0.21417001977875,0.326042350917666,0.840765123077719,0.191863664332246,0.614849435430077,0.375120893888682,0.996846902258594
"15004","RBBP8NL",0,0,0,0,0,0,0
"15005","RBBP9",0.890064507730566,0.523345277230597,1.08572830924056,0.801106863410887,1.25937779460861,0.836579241483236,0.682363203355246
"15006","RBCK1",2.64064271067774,1.62405293788949,3.02101702039273,1.78991500081305,1.82954618594036,1.55091763970609,2.08374738466517
"15007","RBFA",2.2723936478126,1.80078907904569,2.04432243739061,2.48044348816169,2.82301013505031,2.37892164301884,2.25891087428496
"15008","RBFADN",0.0669155624912794,0.0432927513240576,0,0.128381766361705,0.149321232650202,0.0314314366587413,0
"15009","RBFOX1",3.38415690585843,2.08718059265398,2.40799276524091,4.20736971164734,6.08901579479325,2.64766742679655,3.17103675880525
"15010","RBFOX2",7.50018340672356,8.02231729967465,5.46017296927053,6.94925393540118,7.89940946231472,7.23737762498349,8.52236392194343
"15011","RBFOX3",1.85673791271063,1.12051124688588,1.79913258617957,1.07606835983035,2.10481914455652,1.2978378730368,1.746897225401
"15012","RBKS",0.107164736386287,0.0940036704072952,0.0286881733659937,0.117793568165695,0.245153164563165,0.150406990629538,0.140669872698217
"15013","RBL1",0.834441104958231,0.79412831516724,1.20006140919778,0.74432673427287,0.840965718199308,0.770783643144686,0.621389895436237
"15014","RBL2",0.901133015934119,0.776427832232573,0.877977173025345,0.372950257381418,0.505429681842358,0.425278414997195,0.636720101009776
"15015","RBM10",3.42845254320445,3.14014378591486,3.53862142254318,2.78540908995201,3.55066034441976,3.47407490327043,2.91168850183002
"15016","RBM11",0.25300972980109,0.17957894906008,0.0831778622474647,0.546585215366809,0.559906552939399,0.34878049522349,0.069526607145205
"15017","RBM12",2.35454997795103,2.25360916948089,2.33169019954062,1.95379648308732,2.57095827532209,1.89335827131323,2.5157659951052
"15018","RBM12B",1.25359346496298,1.20912727604012,1.54693553807051,1.2290695195974,1.48933308412059,0.82594839285551,0.856738385158789
"15019",NA,0.0481925782651166,0.0206788905742506,0,0.0480113213320778,0.0493700391577193,0,0.138578734521715
"15020","RBM14",3.03302600106001,2.99430611075276,3.1239126228104,2.14054187209182,3.16207873966899,2.62586137949066,4.12594253348073
"15021","RBM14-RBM4",0,0,0,0,0,0,0
"15022","RBM15",0.687420882987006,0.388133308978186,0.776526683394179,0.438931536052924,0.701966069976262,0.437129428206888,0.62737759510663
"15023",NA,2.50439468050678,1.49044832048105,2.54245687424617,1.83447664848018,3.00919461153911,2.56230759731328,2.54710797630006
"15024","RBM17",3.48236147490138,4.16201817718624,4.93768394449758,3.46057183831466,4.16412238593515,3.65619880146438,5.5164365147509
"15025","RBM18",1.76592023398299,2.29891235689397,1.83238186206994,1.57514654404905,3.32417348742059,2.96664809104963,2.99068382347561
"15026","RBM19",1.31090201614597,1.39187415637977,1.76902247621933,1.37859974148056,1.44266881483941,1.03356451394807,1.77228651938775
"15027","RBM20",0.139236051073717,0.113214836709623,0.0670404145389336,0.0316094206121688,0.0373285902992304,0,0
"15028","RBM22",2.70333581505932,2.15527361337515,3.45277173545156,2.44102879135676,3.40426088815286,2.93626554391658,2.93900620292748
"15029","RBM23",2.32515725867846,2.52350257523257,4.07782634907449,2.27535008467322,2.28613737695772,1.68540285859985,2.35106818866
"15030","RBM24",0.962413972210466,0.521851098208589,0.764517279054244,0.600023268932201,0.265405238615295,0.292151446598329,0.207610083975136
"15031","RBM25",5.15068320627941,5.72425384910813,5.79676963736619,4.75494328106198,5.19242746361933,4.76180695724829,7.09410917621321
"15032","RBM26",2.95529469861882,2.50747410585853,3.47117267065875,2.07647492621807,2.96213250128671,2.61579288082118,1.96599952650541
"15033","RBM26-AS1",0.210989063178478,0.2522025843829,0.38684362425402,0.0124566608158853,0.149115877767151,0.151811173151061,0.149460846189467
"15034","RBM27",2.42290470998535,2.46600151859676,3.14963417344238,1.44167775987532,2.47729614649435,1.97444616173693,2.94082430403147
"15035","RBM28",1.65238790273927,2.00376811146723,2.54297549008583,1.58504086303248,1.72307495987373,1.48738769550557,1.64177603327901
"15036","RBM3",4.10068328005912,4.27178328229611,5.23931764609338,4.24019196006999,6.96293563998302,6.23641812629744,6.9265367447232
"15037","RBM33",3.38551282564936,2.45885401634409,3.02232109234683,2.11922163450091,2.92181601306971,2.52244892096811,2.28587823952149
